countryName,CODE,data,deaths
Vanuatu,VUT,2022/5/4,14
Venezuela,VEN,2020/12/31,1028
Venezuela,VEN,2021/12/31,5328
Venezuela,VEN,2022/5/4,5709
Vietnam,VNM,2020/12/31,35
Vietnam,VNM,2021/12/31,32394
Vietnam,VNM,2022/5/4,43047
Yemen,YEM,2020/12/31,610
Yemen,YEM,2021/12/31,1984
Yemen,YEM,2022/5/4,2149
Zambia,ZMB,2020/12/31,388
Zambia,ZMB,2021/12/31,3734
Zambia,ZMB,2022/5/4,3976
Zimbabwe,ZWE,2020/12/31,363
Zimbabwe,ZWE,2021/12/31,5004
Zimbabwe,ZWE,2022/5/4,5471
